Segment,Ship Mode,Region,Order Priority,Sales,Quantity,Discount,Profit,Shipping Cost,TotalSale,SalesAfterDiscount
Consumer,Standard Class,South,High,17.8,5,0,0.5,1.96,89,89
Corporate,Standard Class,East,Medium,66.96,4,0,2.68,1.57,267.84,267.84
Corporate,Second Class,Central,High,10.94,4,0.4,-3.14,1.37,43.776,26.27
Consumer,Standard Class,South,High,15.28,2,0,1.96,1.2,30.56,30.56
Consumer,Second Class,West,Medium,17.09,4,0.2,5.55,0.65,68.352,54.68
Corporate,Standard Class,East,Medium,6.24,2,0,3.06,0.34,12.48,12.48
Corporate,Standard Class,North Asia,Medium,10.08,4,0.5,-9.12,0.32,40.32,20.16
Corporate,Second Class,South,Medium,8.78,3,0.4,-4.84,0.32,26.352,15.81
Corporate,First Class,Southeast Asia,Medium,1037.71,8,0.27,298.51,202.94,8301.6768,6060.22
Corporate,Standard Class,North,High,1029.38,5,0.5,-247.12,141.5,5146.875,2573.44
Corporate,Second Class,Central,Medium,1503.25,5,0,496.07,120.84,7516.25,7516.25
Consumer,Standard Class,South,High,881.93,7,0,229.3,112.32,6173.51,6173.51
Corporate,Second Class,Central,Medium,2001.86,7,0,580.54,81.39,14013.02,14013.02
Corporate,Second Class,North,Medium,805.56,14,0,185.22,80.12,11277.84,11277.84
Corporate,Standard Class,Central,High,482.48,2,0,130.24,66.7,964.96,964.96
Corporate,Second Class,North,Medium,449.64,4,0,58.44,64.21,1798.56,1798.56
Corporate,Standard Class,North,Medium,389.48,7,0,23.24,40.18,2726.36,2726.36
Corporate,Second Class,North,Medium,512.19,9,0,209.79,36.17,4609.71,4609.71
Corporate,First Class,South,High,222.56,2,0,109.04,34.93,445.12,445.12
Corporate,Standard Class,Central,High,211.8,2,0.15,69.72,23.66,423.606,360.07
Consumer,Standard Class,Central,High,140.4,6,0,8.28,16.57,842.4,842.4
Corporate,First Class,North,Critical,50.8,2,0,22.32,15.18,101.6,101.6
Corporate,Standard Class,East,Medium,289.2,6,0,83.87,14.33,1735.2,1735.2
Corporate,Standard Class,South,High,102.54,2,0,35.88,13.91,205.08,205.08
Corporate,Standard Class,Central,Medium,138.56,4,0,66.51,11.26,554.24,554.24
Consumer,First Class,Oceania,Critical,58.1,2,0.4,6.74,10.37,116.208,69.72
Consumer,Standard Class,Central,High,57.6,2,0,25.92,8.58,115.2,115.2
Corporate,Second Class,Central,Medium,166.72,2,0,41.68,8.11,333.44,333.44
Consumer,Standard Class,EMEA,High,58.83,1,0,6.45,7.4,58.83,58.83
Consumer,Standard Class,EMEA,High,48.48,1,0,6.3,6.03,48.48,48.48
Corporate,Standard Class,Central,Medium,65.52,5,0.1,12.38,5.8,327.6,294.84
Corporate,First Class,Southeast Asia,Medium,214.38,3,0.27,35.19,5.64,643.1373,469.49
Corporate,Second Class,Central,Medium,47.88,6,0,23.94,4.27,287.28,287.28
Corporate,Standard Class,Central Asia,Medium,62.7,5,0,9.9,4.18,313.5,313.5
Corporate,Standard Class,North,High,27.99,2,0.5,-9.57,3.2,55.98,27.99
Consumer,Standard Class,South,High,22.2,6,0,9.1,2.68,133.2,133.2
Corporate,Second Class,Central,Medium,25.92,4,0,12.44,2.51,103.68,103.68
Corporate,Standard Class,North,High,25.23,1,0.5,-5.58,1.97,25.23,12.62
Corporate,First Class,North,Medium,22.14,2,0,6.84,1.62,44.28,44.28
Consumer,Second Class,Africa,Medium,21.18,2,0,5.88,1.56,42.36,42.36
Corporate,Standard Class,East,Medium,45.48,3,0,20.92,1.35,136.44,136.44
Consumer,Second Class,Africa,Medium,10.86,1,0,4.32,0.74,10.86,10.86
Consumer,Standard Class,EMEA,High,6.99,1,0,3.42,0.68,6.99,6.99
Corporate,Second Class,North Asia,High,1888.24,6,0.3,-161.96,162.45,11329.416,7930.59
Corporate,Standard Class,South,High,575.92,2,0.2,71.99,93.1,1151.84,921.47
Corporate,Second Class,North Asia,High,622.86,2,0.3,-62.34,91.18,1245.72,872
Corporate,First Class,Central,Critical,138.82,11,0,56.76,30.89,1527.02,1527.02
Corporate,First Class,Central,Critical,463.44,4,0,120.48,30.14,1853.76,1853.76
Corporate,First Class,Central,Critical,61.84,2,0,8,16.06,123.68,123.68
Consumer,First Class,North,High,34.02,2,0,14.28,11.12,68.04,68.04
Corporate,First Class,Africa,Critical,29.27,2,0.7,-55.63,10.35,58.536,17.56
Corporate,Second Class,West,Medium,19.92,5,0.2,6.97,1.44,99.6,79.68
Corporate,First Class,Africa,Critical,5.15,2,0.7,-9.31,1.19,10.296,3.09
Corporate,Standard Class,South,High,5.18,6,0.7,-3.63,0.69,31.104,9.33
Consumer,First Class,North Asia,High,1157.58,6,0,254.52,184.92,6945.48,6945.48
Consumer,First Class,North Asia,High,516.96,3,0,165.42,133.56,1550.88,1550.88
Consumer,Standard Class,EMEA,High,1503.74,8,0.6,-1842.1,126.17,12029.952,4811.98
Consumer,Standard Class,Africa,Medium,922.86,2,0,9.18,69.1,1845.72,1845.72
Consumer,Standard Class,Central,Low,270.38,3,0.1,75.08,26.31,811.134,730.02
Corporate,Second Class,Central,High,217.2,5,0,21.6,25.25,1086,1086
Consumer,Standard Class,EMEA,High,248.64,4,0,19.8,24.81,994.56,994.56
Consumer,First Class,Africa,High,99.48,2,0,23.82,22.71,198.96,198.96
Consumer,Standard Class,EMEA,High,279.21,1,0,0,16.58,279.21,279.21
Corporate,Second Class,Central,High,99.25,2,0.1,9.91,15.5,198.504,178.65
Corporate,Second Class,Africa,Critical,40.16,2,0.7,-89.74,11.29,80.316,24.09
Corporate,Second Class,Central,High,80.43,7,0,0.63,11.28,563.01,563.01
Consumer,First Class,North Asia,High,52.47,3,0,11.52,10.31,157.41,157.41
Consumer,Standard Class,Southeast Asia,Medium,253.36,1,0.35,-35.09,10,253.3635,164.69
Consumer,Standard Class,EMEA,Medium,196.02,6,0,90,9.99,1176.12,1176.12
Corporate,Second Class,Central,High,53.4,2,0,14.94,8.6,106.8,106.8
Consumer,Standard Class,Africa,Medium,90.23,6,0.7,-147.55,8.11,541.404,162.42
Corporate,Second Class,Africa,Critical,38.37,1,0.7,-74.19,8.04,38.367,11.51
Consumer,Standard Class,EMEA,High,85.02,2,0,13.56,7.64,170.04,170.04
Consumer,Standard Class,Southeast Asia,Medium,102.76,4,0.45,1.84,7.42,411.048,226.08
Corporate,Standard Class,South,Medium,78.3,2,0.2,29.36,7.09,156.608,125.29
Corporate,Standard Class,South,Medium,62.92,1,0.2,10.22,5.62,62.92,50.34
Consumer,Standard Class,EMEA,High,40.7,4,0.6,-51.94,5.39,162.816,65.13
Corporate,Standard Class,South,Medium,44.13,4,0.2,12.14,4.31,176.512,141.21
Corporate,Standard Class,EMEA,Medium,44.09,1,0.6,-46.3,4.17,44.088,17.64
Consumer,First Class,West,High,19.75,3,0.2,6.91,3.23,59.256,47.4
Consumer,Standard Class,EMEA,High,24,2,0,0.96,2.39,48,48
Corporate,Second Class,Africa,Critical,8.97,1,0.7,-9,2.07,8.973,2.69
Consumer,Standard Class,Southeast Asia,Medium,24.65,3,0.45,-19.36,1.94,73.953,40.67
Corporate,Standard Class,EMEA,Medium,13.26,1,0,6.09,1.26,13.26,13.26
Corporate,Second Class,Africa,Critical,3.32,1,0.7,-4.33,1.14,3.321,1
Consumer,Standard Class,EMEA,Medium,13.38,1,0,3.21,1.11,13.38,13.38
Consumer,Standard Class,Africa,Medium,11.73,1,0,5.37,1.08,11.73,11.73
Corporate,Standard Class,EMEA,High,16.12,1,0.6,-19.34,0.97,16.116,6.45
Corporate,Standard Class,South,Medium,17.54,3,0.2,5.92,0.93,52.632,42.11
Corporate,Standard Class,Africa,Medium,13.14,2,0,5.22,0.83,26.28,26.28
Consumer,Standard Class,EMEA,High,10.42,1,0.6,-6.77,0.81,10.416,4.17
Corporate,Standard Class,East,High,5.68,2,0.2,1.92,0.77,11.36,9.09
Consumer,Standard Class,EMEA,High,7.88,1,0.6,-10.66,0.72,7.884,3.15
Corporate,Second Class,Africa,Critical,1.6,1,0.7,-1.58,0.25,1.602,0.48
Consumer,Standard Class,North Asia,High,1429.05,7,0,371.49,194.36,10003.35,10003.35
Consumer,Second Class,North,Medium,1232.88,4,0,135.6,150.43,4931.52,4931.52
Consumer,Standard Class,North Asia,High,767.52,6,0,45.9,102.29,4605.12,4605.12
Consumer,Standard Class,North Asia,High,1100.16,6,0,175.86,92.07,6600.96,6600.96
Consumer,First Class,Central,High,182.88,9,0,3.6,44.76,1645.92,1645.92
Consumer,Standard Class,North Asia,High,473.61,1,0,142.08,42.96,473.61,473.61
Corporate,First Class,North,Critical,243,4,0,119.04,41.83,972,972
Consumer,Standard Class,East,High,357,3,0,57.12,31.59,1071,1071
Corporate,Second Class,Canada,Medium,137.94,1,0,6.87,17.43,137.94,137.94
Corporate,Second Class,South,Medium,348.36,2,0.4,5.8,16.6,696.72,418.03
Corporate,Second Class,South,Medium,185.57,1,0.4,-6.19,15.67,185.568,111.34
Consumer,Standard Class,Oceania,High,87.9,2,0,21.96,15.25,175.8,175.8
Corporate,Standard Class,North,Medium,125.22,3,0,40.02,11.55,375.66,375.66
Corporate,Standard Class,Central,High,77.5,5,0,3.8,10.55,387.5,387.5
Consumer,First Class,Central,High,31.1,6,0.2,10.89,9.9,186.624,149.3
Corporate,Standard Class,Central,Medium,100.68,2,0,6,7.53,201.36,201.36
Corporate,Standard Class,Central,High,44.28,3,0,0.42,4.64,132.84,132.84
Consumer,First Class,Southeast Asia,High,64.35,3,0.45,-32.76,3.1,193.05,106.18
Corporate,Standard Class,Central,Medium,37.08,4,0,16.2,2.88,148.32,148.32
Corporate,First Class,North,Medium,60.54,2,0,20.58,2.51,121.08,121.08
Consumer,Standard Class,Africa,High,24,1,0,2.88,2.51,24,24
Consumer,Standard Class,East,High,23.74,2,0.2,8.31,2.37,47.488,37.99
Consumer,Second Class,West,High,53.94,3,0,15.64,1.8,161.82,161.82
Corporate,Standard Class,North,Medium,19.3,1,0,3.66,1.54,19.3,19.3
Corporate,Second Class,Central,Medium,21.42,3,0,5.31,1.27,64.26,64.26
Corporate,Second Class,Africa,Medium,18.24,4,0,6.48,1.02,72.96,72.96
Consumer,First Class,Central,High,3.65,3,0.8,-6.02,0.7,10.944,2.19
Corporate,Standard Class,Africa,High,1016.64,4,0,406.56,93.04,4066.56,4066.56
Consumer,Standard Class,Caribbean,High,231.98,2,0.002,43.7,17.81,463.95024,463.02
Consumer,Standard Class,EMEA,Low,103.56,2,0,18.6,14.05,207.12,207.12
Consumer,Standard Class,Africa,High,104.76,6,0,3.06,13.17,628.56,628.56
Corporate,Standard Class,Africa,High,66.42,1,0,0.66,5.85,66.42,66.42
Corporate,Standard Class,South,Medium,52.33,7,0.4,-34.05,3.74,366.324,219.79
Consumer,Standard Class,Caribbean,High,22,2,0,3.08,2.72,44,44
Corporate,Standard Class,Africa,High,12.9,2,0,4.98,1.95,25.8,25.8
Consumer,Standard Class,Africa,High,8.91,1,0,1.59,0.99,8.91,8.91
Corporate,Standard Class,West,High,4.71,1,0,0,0.63,4.71,4.71
Consumer,Standard Class,West,Medium,1983.97,4,0.2,248,235.13,7935.872,6348.7
Consumer,Second Class,North,Medium,1592.7,5,0,652.95,144.5,7963.5,7963.5
Corporate,First Class,EMEA,Medium,1549.98,6,0,139.32,112.63,9299.88,9299.88
Consumer,First Class,North Asia,Critical,283.26,4,0.5,-181.38,83.34,1133.04,566.52
Consumer,Second Class,Canada,Medium,527.16,2,0,131.76,82.29,1054.32,1054.32
Corporate,First Class,EMEA,Medium,593.64,12,0,94.68,67.09,7123.68,7123.68
Consumer,Standard Class,South,Medium,770.22,10,0.4,38.22,63.67,7702.2,4621.32
Corporate,Standard Class,South,Medium,978.84,9,0.2,110.12,56.8,8809.56,7047.65
Consumer,Standard Class,West,High,443.92,5,0.2,-94.33,54.44,2219.6,1775.68
Corporate,Standard Class,North,High,388.61,2,0.2,29.13,53.93,777.216,621.77
Consumer,First Class,North Asia,Critical,196.8,8,0.5,-66.96,53.65,1574.4,787.2
Consumer,Standard Class,South,Medium,677.4,4,0,60.96,51.03,2709.6,2709.6
Consumer,Standard Class,Central,Medium,928.8,5,0.1,361.2,50.61,4644,4179.6
Consumer,First Class,North Asia,Critical,121.58,5,0.5,-92.48,49.1,607.875,303.94
Consumer,First Class,North Asia,Critical,519.52,5,0.5,-394.88,46.41,2597.625,1298.81
Corporate,First Class,Central,Medium,253.98,2,0.402,-128.3,43.66,507.96512,303.76
Corporate,Second Class,Africa,High,200.39,6,0.1,11.03,37.24,1202.364,1082.13
Consumer,Standard Class,South,Medium,588.6,4,0,276.6,33.89,2354.4,2354.4
Consumer,First Class,North Asia,Critical,142.44,4,0.5,-25.68,30.95,569.76,284.88
Consumer,Standard Class,East,Medium,533.94,3,0,154.84,29.73,1601.82,1601.82
Consumer,First Class,North Asia,Critical,82.62,9,0.5,-29.97,28.34,743.58,371.79
Consumer,Second Class,Canada,Medium,266.91,1,0,2.64,26.26,266.91,266.91
Consumer,Standard Class,Central Asia,High,323.46,6,0,138.96,22.45,1940.76,1940.76
Consumer,Standard Class,South,Medium,494.32,6,0.4,-0.14,22.04,2965.896,1779.54
Consumer,Standard Class,Central,Medium,367.52,2,0.1,-16.36,21.79,735.048,661.54
Consumer,Standard Class,Central Asia,High,255.45,5,0,28.05,16.86,1277.25,1277.25
Consumer,Second Class,Canada,Medium,128.43,1,0,1.26,15.87,128.43,128.43
Consumer,First Class,North Asia,Critical,98.59,2,0.2,22.15,15.39,197.184,157.75
Consumer,Standard Class,South,Medium,144.27,3,0,12.96,11.93,432.81,432.81
Consumer,Standard Class,Central,Medium,160.65,5,0,80.25,11.85,803.25,803.25
Consumer,First Class,North Asia,Critical,48.93,2,0.5,-5.91,11.64,97.86,48.93
Consumer,Standard Class,Central,High,112.21,4,0.1,4.93,11.42,448.848,403.96
Consumer,Standard Class,Central,Medium,147.96,3,0,35.46,10.8,443.88,443.88
Corporate,Standard Class,East,High,76.12,2,0,22.07,9.65,152.24,152.24
Consumer,Standard Class,Central,Medium,125.37,3,0,0,9.25,376.11,376.11
Corporate,Standard Class,EMEA,High,50.44,1,0.6,-54.23,8.41,50.436,20.17
Corporate,Standard Class,South,Low,69.52,2,0,19.47,8.21,139.04,139.04
Consumer,Standard Class,Caribbean,Medium,94.13,3,0.2,-10.63,7.72,282.384,225.91
Corporate,First Class,East,Medium,68.7,2,0.2,16.32,7.45,137.408,109.93
Corporate,Standard Class,North,High,37.32,2,0,4.84,6.4,74.64,74.64
Consumer,Standard Class,Central,Medium,87.26,2,0.1,2.9,6.26,174.528,157.08
Corporate,Second Class,Africa,High,46.41,1,0,23.19,6.08,46.41,46.41
Consumer,First Class,North Asia,Critical,47.43,2,0.5,-14.25,4.63,94.86,47.43
Consumer,Standard Class,Central,Medium,87.48,3,0,25.29,4.47,262.44,262.44
Consumer,Standard Class,Central,Medium,137.25,5,0,38.4,4.17,686.25,686.25
Corporate,Second Class,EMEA,Medium,18.77,2,0.6,-12.25,3.98,37.536,15.01
Corporate,First Class,Central,Medium,49.34,2,0.4,-23.86,3.96,98.688,59.21
Corporate,Standard Class,South,Medium,47.81,12,0.2,15.54,3.79,573.696,458.96
Consumer,Standard Class,West,High,155.98,3,0.2,54.59,3.74,467.928,374.34
Corporate,Standard Class,EMEA,High,32.51,1,0.6,-8.14,3.56,32.508,13
Consumer,First Class,North Asia,Critical,10.5,2,0.5,-8.22,3.53,21,10.5
Consumer,Standard Class,Africa,Medium,28.62,6,0,12.24,3.24,171.72,171.72
Corporate,First Class,EMEA,Medium,28.62,6,0,12.24,2.91,171.72,171.72
Consumer,Standard Class,East,Medium,167.94,3,0,82.29,2.83,503.82,503.82
Corporate,First Class,Central,Medium,33.18,7,0.4,4.34,2.81,232.26,139.36
Corporate,Standard Class,West,Medium,44.4,3,0,22.2,2.77,133.2,133.2
Consumer,First Class,North,High,8.84,2,0,4.24,2.22,17.68,17.68
Consumer,Standard Class,West,Medium,43.18,3,0.2,4.32,2.12,129.528,103.62
Corporate,Standard Class,EMEA,Medium,33.18,2,0,4.92,1.96,66.36,66.36
Corporate,Standard Class,EMEA,Medium,28.23,1,0,0,1.94,28.23,28.23
Consumer,Standard Class,East,Medium,31.68,6,0,9.82,1.9,190.08,190.08
Corporate,Standard Class,Central,Low,15.7,3,0.2,5.1,1.82,47.088,37.67
Corporate,Standard Class,EMEA,Medium,15.75,1,0,1.71,1.64,15.75,15.75
Corporate,First Class,East,Medium,22.43,3,0.7,-17.94,1.52,67.284,20.19
Consumer,Standard Class,South,Medium,23.64,3,0,3.06,1.51,70.92,70.92
Corporate,Standard Class,EMEA,High,11.66,1,0.6,-9.07,1.25,11.664,4.67
Corporate,Standard Class,EMEA,High,6.98,1,0.6,-9.97,1.23,6.984,2.79
Corporate,Standard Class,South,Medium,10.27,3,0.2,0.9,1.21,30.816,24.65
Corporate,Standard Class,West,Medium,21.4,5,0,9.63,0.92,107,107
Corporate,Standard Class,South,Low,5.64,3,0,1.64,0.75,16.92,16.92
Corporate,Standard Class,EMEA,High,3.94,1,0.6,-4.25,0.54,3.936,1.57
Corporate,Standard Class,South,Medium,7.52,5,0.2,1.41,0.33,37.6,30.08
Corporate,First Class,East,Medium,3.13,2,0.7,-2.61,0.1,6.264,1.88
Consumer,First Class,Central,High,2807.84,8,0,673.88,487.15,22462.72,22462.72
Corporate,Standard Class,Central,High,1795.92,7,0,843.99,154.61,12571.44,12571.44
Consumer,Second Class,East,Medium,909.72,6,0.3,-51.98,133.2,5458.32,3820.82
Corporate,Second Class,Central,Critical,674.06,3,0.3,-19.26,123.32,2022.174,1415.52
Corporate,Standard Class,Oceania,Medium,1181.02,4,0.4,-334.7,86.99,4724.064,2834.44
Corporate,Second Class,South,High,1894.05,5,0,700.65,80.49,9470.25,9470.25
Corporate,First Class,North,Critical,180.08,7,0.5,-90.2,69.75,1260.525,630.26
Consumer,First Class,East,High,271.9,2,0,78.85,62.54,543.8,543.8
Consumer,Second Class,East,Medium,659.99,2,0.4,110,60.3,1319.976,791.99
Consumer,First Class,Central Asia,Critical,219.78,2,0,59.34,36.24,439.56,439.56
Consumer,Standard Class,South,Medium,491,5,0,122.7,35.15,2455,2455
Consumer,Standard Class,Central,Medium,392.44,9,0.1,-43.6,29.72,3532.005,3178.8
Corporate,Second Class,South,High,111.89,2,0.1,-2.53,15.6,223.776,201.4
Consumer,Standard Class,Southeast Asia,Medium,181.33,2,0.37,28.75,15.22,362.6532,228.47
Corporate,Standard Class,North,Medium,173.61,9,0,10.26,13.58,1562.49,1562.49
Consumer,Second Class,North Asia,Medium,103.38,2,0,40.26,12.99,206.76,206.76
Consumer,Standard Class,South,Medium,583.8,7,0,186.76,12.32,4086.6,4086.6
Consumer,Standard Class,Central,Medium,220.08,3,0,50.58,12.28,660.24,660.24
Consumer,Second Class,North Asia,Medium,102.33,9,0,51.03,11.04,920.97,920.97
Consumer,First Class,Central,High,46.64,4,0,12.59,8.88,186.56,186.56
Consumer,Standard Class,Central,Medium,117.66,3,0,12.9,8.64,352.98,352.98
Consumer,Second Class,North Asia,Medium,75.72,4,0,37.8,7.6,302.88,302.88
Consumer,Standard Class,Central,Medium,102.18,3,0,1.02,6.92,306.54,306.54
Consumer,Standard Class,Central,Medium,76.62,3,0,21.42,5.92,229.86,229.86
Consumer,First Class,South,Medium,26.49,1,0,4.74,5.91,26.49,26.49
Consumer,First Class,East,High,45.84,3,0,15.59,5.84,137.52,137.52
Consumer,Standard Class,West,Medium,58.2,3,0,28.52,4.79,174.6,174.6
Consumer,Standard Class,South,Medium,95.97,4,0.2,9.6,4.68,383.872,307.1
Corporate,Standard Class,Central,Medium,64.82,2,0.4,-16.22,4.67,129.648,77.79
Consumer,Standard Class,Southeast Asia,Medium,55.01,4,0.27,12.77,3.37,220.0512,160.64
Consumer,Standard Class,South,Medium,57.12,7,0,2.8,3.25,399.84,399.84
Corporate,Second Class,Africa,High,25.27,6,0.7,-40.61,3.1,151.632,45.49
